marketplace_id,marketplace_code,gap_type,gap_reason,ownership_bucket,amazon_order_id,purchase_date,fulfillment_channel,sample_sku,sample_asin,missing_lines,finance_rows,order_fee_rows,fba_charge_rows,referral_charge_rows,fee_rows_without_sku,charge_types
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,306-6347424-8745138,2026-02-09,AFN,FBA_5906638330197,B0FHPVWWBS,1,6,0,0,1,0,Commission|Principal|ShippingCharge|ShippingChargeback|ShippingTax|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,306-6861495-9318749,2026-03-04,MFN,MAG_5903699471982,B0BZQ4KC5K,1,3,1,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,306-7288201-2021132,2026-03-04,MFN,MAG_5903699471982,B0BZQ4KC5K,1,3,1,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,306-7419976-1338758,2026-03-04,MFN,MAG_5903699408605,B09GY92P12,1,6,1,0,1,0,Commission|Principal|ShippingCharge|ShippingHB|ShippingTax|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,306-7571480-3561155,2026-03-04,MFN,MAG_5906638310311,B0F9KNNM2N,1,6,1,0,1,0,Commission|Principal|ShippingCharge|ShippingHB|ShippingTax|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,306-7633614-7888344,2026-02-09,AFN,FBA_5906638365311,B0FR4HCBSY,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,306-7746283-9435521,2026-03-04,MFN,MAG_5903699447581,B0BD9112KD,1,3,1,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,306-7922117-4274746,2026-03-04,MFN,MAG_5903699471999,B0BZQ3G44R,1,3,1,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,306-8078061-0869918,2026-02-07,AFN,FBA_5906638361504,B0FPD47QVQ,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,306-9224421-7429955,2026-03-04,AFN,FBA_5906638310038,B0F9X3GBTH,1,4,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,306-9279757-5271556,2026-03-02,AFN,FBA_5906638380024,B0GLFN1CVG,1,6,0,0,2,0,Commission|Commission|Principal|Principal|Tax|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,306-9457536-5450706,2026-02-04,AFN,FBA_5906638361252,B0FPWSVGZM,1,7,0,0,2,0,Commission|Commission|Principal|Principal|RefundCommission|Tax|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,306-9522494-0912330,2026-02-09,AFN,FBA_5906638365304,B0FR4VY6RC,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,306-9606155-6610718,2026-02-24,AFN,FBA_5906638377086,B0GDZZYZWT,1,3,0,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,internal_fixable,306-9636267-0696367,2026-03-04,MFN,MAG_5903699475003,B0C3CJVNNK,1,3,1,0,1,0,Commission|Principal|Tax
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,internal_fixable,306-9683834-5638745,2026-03-04,AFN,FBA_5903699440186,B0BC181HDJ,1,4,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal|Tax
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,internal_fixable,306-9821154-7007540,2026-03-03,AFN,FBA_5906638380017,B0GLFZ5MMY,1,3,0,0,1,0,Commission|Principal|Tax
A1805IZSGTT6HS,NL,referral,sku_mismatch_or_unallocated,internal_fixable,402-0354899-3475554,2026-02-18,MFN,MAG_5903699477267,B0C2VQDX9Q,1,6,1,0,1,0,Commission|Principal|ShippingCharge|ShippingHB|ShippingTax|Tax
APJ6JRA9NG5V4,IT,referral,sku_mismatch_or_unallocated,internal_fixable,402-0579867-3326742,2026-03-04,MFN,MAG_5903699474808,B0C23J79BW,1,7,1,0,1,0,Commission|DigitalServicesFee|Principal|ShippingCharge|ShippingHB|ShippingTax|Tax
APJ6JRA9NG5V4,IT,referral,sku_mismatch_or_unallocated,internal_fixable,402-1215393-0796362,2026-03-04,MFN,MAG_5903699422007,B096XJNDDX,1,4,1,0,1,0,Commission|DigitalServicesFee|Principal|Tax
A13V1IB3VIYZZH,FR,referral,sku_mismatch_or_unallocated,internal_fixable,402-2208140-1636322,2026-03-04,MFN,MAG_5903699428887,B09VL8K43N,1,7,1,0,1,0,Commission|DigitalServicesFee|Principal|ShippingCharge|ShippingHB|ShippingTax|Tax
A1805IZSGTT6HS,NL,fba,sku_mismatch_or_unallocated,internal_fixable,402-3421672-9066708,2026-02-24,AFN,FBA_5903699472019,B0C37MJW2G,1,6,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal|ShippingCharge|ShippingTax|Tax
A13V1IB3VIYZZH,FR,referral,sku_mismatch_or_unallocated,internal_fixable,402-3664821-2239517,2026-03-04,MFN,MAG_5906638301296,B0D6GFLKJM,1,4,1,0,1,0,Commission|DigitalServicesFee|Principal|Tax
A13V1IB3VIYZZH,FR,referral,sku_mismatch_or_unallocated,internal_fixable,402-4719744-9517928,2026-03-04,MFN,MAG_5903699411209,B08L7ZXV45,3,21,3,0,3,0,Commission|DigitalServicesFee|Principal|ShippingCharge|ShippingHB|ShippingTax|Tax|Commission|DigitalServicesFee|Principal|ShippingCharge|ShippingHB|ShippingTax|Tax|Commission|DigitalServicesFee|Principal|ShippingCharge|ShippingHB|ShippingTax|Tax
AMEN7PMS3EDWL,BE,fba,sku_mismatch_or_unallocated,internal_fixable,402-5230336-9425152,2026-02-23,AFN,FBA_5906638309209,B0F8NGR1JF,1,4,1,1,1,0,Commission|FBAPerUnitFulfillmentFee|Principal|Tax
A13V1IB3VIYZZH,FR,fba,sku_mismatch_or_unallocated,internal_fixable,402-5831137-4266718,2026-03-03,AFN,FBA_5903699455890,B0BSQYKG7K,1,5,1,1,1,0,Commission|DigitalServicesFee|FBAPerUnitFulfillmentFee|Principal|Tax
APJ6JRA9NG5V4,IT,referral,sku_mismatch_or_unallocated,internal_fixable,402-6375406-4669946,2026-03-04,MFN,MAG_5903699435045,B0B68KVZ8N,1,3,1,0,1,0,Commission|DigitalServicesFee|Principal
APJ6JRA9NG5V4,IT,referral,sku_mismatch_or_unallocated,internal_fixable,402-7152506-2657100,2026-03-04,MFN,MAG_5903699433324,B09Z1Z77FK,1,4,1,0,1,0,Commission|DigitalServicesFee|Principal|Tax
APJ6JRA9NG5V4,IT,referral,sku_mismatch_or_unallocated,internal_fixable,402-7370174-0655565,2026-03-04,MFN,MAG_5902730386322,B085LKSD4M,1,5,1,0,1,0,Commission|DigitalServicesFee|Principal|ShippingCharge|ShippingHB
A13V1IB3VIYZZH,FR,referral,sku_mismatch_or_unallocated,internal_fixable,402-8211398-1537120,2026-03-04,MFN,MAG_5902730383802,B082HYGWGJ,1,4,1,0,1,0,Commission|DigitalServicesFee|Principal|Tax
A13V1IB3VIYZZH,FR,referral,sku_mismatch_or_unallocated,internal_fixable,402-8306227-7909147,2026-03-04,MFN,MAG_5903699468081,B0C244WXG3,1,4,1,0,1,0,Commission|DigitalServicesFee|Principal|Tax
A13V1IB3VIYZZH,FR,referral,sku_mismatch_or_unallocated,internal_fixable,402-9170656-2560314,2026-03-04,MFN,MAG_5903699426753,B09M8NL2V8,2,14,2,0,2,0,Commission|DigitalServicesFee|Principal|ShippingCharge|ShippingHB|ShippingTax|Tax|Commission|DigitalServicesFee|Principal|ShippingCharge|ShippingHB|ShippingTax|Tax
APJ6JRA9NG5V4,IT,fba,sku_mismatch_or_unallocated,internal_fixable,402-9248279-5743554,2026-03-04,AFN,FBA_5903699408094,B08G8RBX1H,1,5,1,1,1,0,Commission|DigitalServicesFee|FBAPerUnitFulfillmentFee|Principal|Tax
A13V1IB3VIYZZH,FR,referral,sku_mismatch_or_unallocated,internal_fixable,402-9516375-3973941,2026-03-04,MFN,MAG_5903699473351,B0BZ51QWSS,1,4,1,0,1,0,Commission|DigitalServicesFee|Principal|Tax
A13V1IB3VIYZZH,FR,referral,sku_mismatch_or_unallocated,internal_fixable,402-9607380-4239539,2026-03-04,MFN,MAG_5903699457139,B0BN6CMF7Y,1,3,1,0,1,0,Commission|DigitalServicesFee|Principal
A13V1IB3VIYZZH,FR,referral,sku_mismatch_or_unallocated,internal_fixable,402-9648896-0623547,2026-03-04,MFN,MAG_5903699439678,B0BCJTPNPK,1,4,1,0,1,0,Commission|DigitalServicesFee|Principal|Tax
APJ6JRA9NG5V4,IT,referral,sku_mismatch_or_unallocated,internal_fixable,403-0503134-6427519,2026-03-04,MFN,MAG_5903699432969,B0BYJTX7FD,1,4,1,0,1,0,Commission|DigitalServicesFee|Principal|Tax
A13V1IB3VIYZZH,FR,referral,sku_mismatch_or_unallocated,internal_fixable,403-1318789-6758717,2026-03-04,MFN,MAG_5903699485262,B0CW1RMRWP,1,4,1,0,1,0,Commission|DigitalServicesFee|Principal|Tax
APJ6JRA9NG5V4,IT,referral,sku_mismatch_or_unallocated,internal_fixable,403-1591396-8853946,2026-03-04,MFN,MAG_5903699435069_1,B0B6CQY6V7,1,3,1,0,1,0,Commission|DigitalServicesFee|Principal
A13V1IB3VIYZZH,FR,referral,sku_mismatch_or_unallocated,internal_fixable,403-1611253-4485924,2026-03-04,MFN,MAG_5903699422137,B09DG6P5JL,1,5,1,0,1,0,Commission|DigitalServicesFee|Principal|ShippingCharge|ShippingHB
APJ6JRA9NG5V4,IT,referral,sku_mismatch_or_unallocated,internal_fixable,403-3228410-2267569,2026-03-04,MFN,MAG_5903699431078,B0BYDWS8T9,1,4,1,0,1,0,Commission|DigitalServicesFee|Principal|Tax
A1805IZSGTT6HS,NL,referral,sku_mismatch_or_unallocated,internal_fixable,403-3338769-2746760,2026-02-20,MFN,MAG_5903699424957,B0983YLTQL,1,3,1,0,1,0,Commission|Principal|Tax
APJ6JRA9NG5V4,IT,referral,sku_mismatch_or_unallocated,internal_fixable,403-3591587-5192352,2026-03-04,MFN,MAG_5903699489307,B0CKF2FZN3,1,4,1,0,1,0,Commission|DigitalServicesFee|Principal|Tax
APJ6JRA9NG5V4,IT,referral,sku_mismatch_or_unallocated,internal_fixable,403-3959166-8064324,2026-03-04,MFN,MAG_5906638359976,B0FM3KLRRS,1,7,1,0,1,0,Commission|DigitalServicesFee|Principal|ShippingCharge|ShippingHB|ShippingTax|Tax
APJ6JRA9NG5V4,IT,referral,sku_mismatch_or_unallocated,internal_fixable,403-3979023-8487554,2026-03-04,MFN,MAG_5903699496664,B0CZ53JKMG,1,4,1,0,1,0,Commission|DigitalServicesFee|Principal|Tax
A13V1IB3VIYZZH,FR,referral,sku_mismatch_or_unallocated,internal_fixable,403-5116956-3287557,2026-03-04,MFN,MAG_8711245129532,B00GHES2NA,1,4,1,0,1,0,Commission|DigitalServicesFee|Principal|Tax
