=== GRUPA 1: Brak internal_sku (mają product_id, brak mapowania do ERP) ===
seller_sku;asin;title;marketplace_id;brand;category;k_number;order_lines;total_revenue;currency;first_order;last_order
amzn.gr.MAG_5906638360590-HyczxPJK92F-LN;B0FN43BM2P;KADAX Leere Glasflaschen 500ml, 6 Stück, Schnapsflaschen mit Korken, Flaschen zum Befüllen von Likör, Wein und Schnaps, Likörflaschen aus Glas, Weinflaschen;APJ6JRA9NG5V4;;;K9351;8;197.55;EUR;2025-12-25 12:40:29+00:00;2026-02-27 22:31:45+00:00
MAG_3253921869004;B06ZZ3TV2C;Keter Connect Cantilever Werkzeugkasten, 56,5x31,7x25,1 Cm, Transparenter Bruchsicherer Deckel, Herausnehmbare Boxen, Stapelbar (Connect System);APJ6JRA9NG5V4;;;;8;427.84;EUR;2025-12-22 23:43:48+00:00;2026-02-14 11:12:46+00:00
MAG_5903699499382;B0D16XG84F;KADAX Set di 3 vasi alti per piante, Grafite Rattan, H 46,5/57,5/68 cm - vasi da esterno eleganti, vaso per piante grandi;A1PA6795UKMFR9;;;;7;558.37;EUR;2025-12-21 15:14:38+00:00;2026-02-27 08:36:34+00:00
MAG_5903699400586;B08775F3LH;KADAX Pot de fleurs avec soucoupe - Diamètre : 14 cm - Gris - Pour l'intérieur et l'extérieur - Idéal pour le salon, le balcon, la salle de bain ou les WC - Les couleurs vives apportent de la;A1PA6795UKMFR9;;;;7;68.99;EUR;2026-01-07 09:24:28+00:00;2026-02-19 17:21:31+00:00
MAG_5906638374467;B0G52PW7FT;KADAX 10er Set Mini Marmeladengläser 40 ml mit Schraubdeckel in Schwarz - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;;7;111.49;EUR;2025-12-07 10:45:28+00:00;2026-02-01 17:22:11+00:00
MAG_5906638375136;B0G5322YT8;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Herz - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;;7;125.51;EUR;2025-12-09 00:25:04+00:00;2026-03-01 06:43:41+00:00
MAG_5906638375105;B0G52YS1GR;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Rot Gepunktet - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;;6;179.95;EUR;2025-12-12 21:55:01+00:00;2026-02-27 12:32:11+00:00
MAG_5906638375150;B0G534C7JC;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Blumen - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;;6;108.00;EUR;2025-12-11 11:19:56+00:00;2026-03-01 17:56:21+00:00
MAG_5906638375518;B0G5863YR4;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Folklore - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;;6;153.65;EUR;2025-12-27 22:04:50+00:00;2026-02-18 15:54:48+00:00
FBA_5906638360569;B0FN431JQT;KADAX tomma glasflaskor 250 ml, 6 stycken, snapsflaskor med kork, små flaskor för att fylla likör, vin och snaps, likörflaskor, vinflaskor;A13V1IB3VIYZZH;;;K9347;6;87.90;EUR;2026-01-30 15:31:20+00:00;2026-02-17 22:26:53+00:00
MAG_5903699467947;B0BSFMBRBR;KADAX Lot de 24 Pièces 51x4cm Pic Anti-Pigeon et Anti-Oiseaux, Dissuasif en Plastique pour Balcon, Terrasse et Espaces Extérieurs, Blanc;A13V1IB3VIYZZH;;;;6;197.70;EUR;2026-01-20 10:26:04+00:00;2026-03-01 14:19:51+00:00
amzn.gr.MAG_5906638360576-yyzh5T8bMa_-LN;B0FN3Y1NJL;KADAX tomma glasflaskor 250 ml, 12 stycken, snapsflaskor med kork, små flaskor för att fylla likör, vin och snaps, likörflaskor, vinflaskor;APJ6JRA9NG5V4;;;K9348;6;156.40;EUR;2025-12-21 17:40:44+00:00;2026-01-18 22:32:44+00:00
MAG_5906638375495;B0G5886VSY;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Rot Gepunktet - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;;6;131.89;EUR;2025-12-24 12:32:32+00:00;2025-12-30 16:02:27+00:00
MAG_5906638375440;B0G586SMTD;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Schwarz Gepunktet - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;;6;109.75;EUR;2025-12-25 16:03:40+00:00;2026-02-08 20:58:58+00:00
MAG_5906638374702;B0G58N3C8L;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Blumen - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;;6;101.56;EUR;2025-12-14 14:28:35+00:00;2026-03-01 21:48:57+00:00
MAG_5906638377000;B0G5989LNN;KADAX Vorratsglas 3 L ohne Deckel - großes Gärglas für Sauerkraut, Kombucha & Eingemachtes;A1PA6795UKMFR9;;;;5;41.65;EUR;2025-12-27 15:56:22+00:00;2026-01-31 13:02:16+00:00
MAG_5906638374733;B0G58KPZYD;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Grün/Gold - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;;5;84.32;EUR;2025-12-12 13:19:51+00:00;2026-01-31 16:10:07+00:00
MAG_5906638375730;B0G5YMKN74;KADAX 24er Set Einmachgläser 580 ml mit Schraubdeckel in Grün/Gold - Stabile Gläser für Eingemachtes, Wurst, Fleisch, Saucen & Gemüse;A1PA6795UKMFR9;;;;5;119.75;EUR;2025-12-12 15:57:45+00:00;2026-01-22 14:03:54+00:00
MAG_5903699467954;B0BSFM4XWW;KADAX Pinchos Antipalomas de Plástico para Protección de Balcones, Terrazas, Techos y Ventanas contra Palomas, Ahuyentador de Pajaros (Blanco, 48);A1RKKUPIHCS9HS;;;;5;878.95;EUR;2025-12-27 08:19:48+00:00;2026-02-24 21:01:43+00:00
BF-7J9L-R8QM;B01M1UT6AL;Rouleau de papier à bulles - Longueur : 100 m, largeur : 50 cm;A1PA6795UKMFR9;;;;5;321.87;EUR;2025-12-09 07:13:52+00:00;2026-02-12 12:11:18+00:00
MAG_5906638328538;B0FD9QLLPN;KADAX fi38mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Weiß;A1PA6795UKMFR9;;;;5;12.75;EUR;2025-12-08 21:57:59+00:00;2026-01-03 20:10:08+00:00
MAG_5906638375112;B0G534976N;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Herzen - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;;5;107.70;EUR;2025-12-10 07:01:13+00:00;2026-02-22 15:42:03+00:00
MAG_5906638374320;B0G5254B4Z;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Rot Kariert - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;5;79.75;EUR;2025-12-08 08:36:51+00:00;2025-12-19 06:56:38+00:00
