order_id,tracking,buyer_country,bl_package,bl_tracking_status_date,dhl_file_delivery_date,bl_delivery_package_module,bl_delivery_package_nr,bl_package_tracking,bl_courier_code,bl_courier_other_name,dhl_source_file,dhl_last_event,dhl_last_event_at,amazon_ship_option,amazon_carrier_name,amazon_delivery_scan_attempt,amazon_any_physical_scan,order_status,fulfillment_channel,purchase_date,notes
303-9746445-0510756,JJD000030206530000003103304,AT,No,,,,,,,,,,,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-01-19 09:24:28,BL has no package
305-4013842-3750737,JJD000030206530000003158938,AT,No,,2026-02-05 11:38:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-05 11:38:00,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-02-01 21:23:43,BL has no package
303-1493331-9398760,JJD000030206530000003165824,AT,Yes,,2026-02-07 11:19:00,blconnectpackages,JJD000030206530000003165824,JJD000030206530000003165824,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-07 11:19:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-02-03 13:39:01,
306-8715549-6973145,JJD000030206530000003091978,AT,No,,2026-01-20 11:19:00,,,,,,EX_DHL_2446860_NET FOX_JJD_18.01.2026 31.01.xlsx,DRPDOR,2026-01-20 11:19:00,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-01-16 11:37:28,BL has no package
302-1026375-0245113,JJD000030206530000003144865,AT,No,,2026-02-10 15:15:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-10 15:15:00,Pri Intl,DHL,No,No,Shipped,MFN,2026-01-29 19:15:05,BL has no package
302-7029155-1441103,JJD000030206530000003153786,AT,No,,2026-02-05 12:28:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-05 12:28:00,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-02-01 08:15:10,BL has no package
302-6617552-7442769,JJD000030206530000003124352,AT,Yes,2026-01-25 10:35:58,2026-01-29 13:01:00,blconnectpackages,JJD000030206530000003124352,JJD000030206530000003124352,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 13:01:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-25 08:44:43,
306-6402741-7143566,JJD000030206530000003123902,AT,Yes,2026-01-25 00:40:49,2026-01-29 12:08:00,blconnectpackages,JJD000030206530000003123902,JJD000030206530000003123902,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 12:08:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-24 22:51:59,
306-7338738-6316312,JJD000030206530000003149668,AT,No,,2026-02-04 12:12:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-04 12:12:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-31 09:17:58,BL has no package
306-8843959-0731528,JJD000030206530000003141042,AT,Yes,,2026-02-03 11:30:00,blconnectpackages,JJD000030206530000003141042,JJD000030206530000003141042,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-02-03 11:30:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-28 19:06:24,
302-3749142-0500301,JJD000030206530000003128985,AT,Yes,2026-01-26 09:41:10,2026-01-29 10:15:00,blconnectpackages,JJD000030206530000003128985,JJD000030206530000003128985,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 10:15:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-26 07:53:51,
028-9066172-1849915,JJD000030206530000003161606,AT,No,,2026-02-06 07:29:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-06 07:29:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-02-02 13:53:41,BL has no package
305-6271497-6425104,JJD000030206530000003113675,AT,Yes,,,blconnectpackages,JJD000030206530000003113675,JJD000030206530000003113675,blconnectpackages,dhl,,,,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-01-22 07:18:40,
304-2959861-1536356,JJD000030206530000003176141,AT,Yes,,2026-02-10 09:31:00,blconnectpackages,30646720248,30646720248,blconnectpackages,gls,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-10 09:31:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-02-05 17:16:18,BL tracking differs from Amazon
028-2535360-4240367,JJD000030206530000003115093,AT,Yes,,,blconnectpackages,JJD000030206530000003113535,JJD000030206530000003113535,blconnectpackages,dhl,,,,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-01-22 06:36:03,BL tracking differs from Amazon
302-4924176-2773107,JJD000030206530000003165739,AT,Yes,,2026-02-06 10:49:00,blconnectpackages,JJD000030206530000003165739,JJD000030206530000003165739,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-06 10:49:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-02-03 12:55:09,
302-1196045-0861160,JJD000030206530000003122798,AT,Yes,2026-01-24 21:11:28,2026-01-29 12:50:00,blconnectpackages,JJD000030206530000003122798,JJD000030206530000003122798,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 12:50:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-24 17:54:33,
305-2058278-0192310,JJD000030206530000003102601,AT,No,,,,,,,,,,,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-01-19 06:01:11,BL has no package
302-9042464-3013911,JJD000030206530000003152678,AT,No,,2026-02-06 11:11:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-06 11:11:00,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-01-31 18:22:55,BL has no package
303-0356038-5081950,JJD000030206530000003122669,AT,Yes,2026-01-24 21:06:24,2026-01-29 12:02:00,blconnectpackages,JJD000030206530000003122669,JJD000030206530000003122669,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 12:02:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-24 17:33:50,
303-4360701-6757130,JJD000030206530000003171499,AT,No,,2026-02-10 10:14:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-10 10:14:00,Std DE Intl_1,DHL eCommerce,No,Yes,Shipped,MFN,2026-02-04 18:21:34,BL has no package
306-5094181-7205119,JJD000030206530000003146632,AT,No,,2026-02-03 11:02:00,,,,,,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-02-03 11:02:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-30 10:57:32,BL has no package
304-7990064-5009937,JJD000030206530000003133004,AT,No,,2026-01-30 07:41:00,,,,,,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-30 07:41:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-26 20:01:20,BL has no package
306-4289471-8775552,JJD000030206530000003162501,AT,Yes,,2026-02-06 12:00:00,blconnectpackages,JJD000030206530000003162501,JJD000030206530000003162501,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-06 12:00:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-02-02 17:03:02,
